seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
AGENT,1.0,BHK,Apartment,Saket,"13,000",630.0,Furnished,1 bathrooms,28.5244107,77.2137253
AGENT,1.0,BHK,Apartment,Saket,"8,500",650.0,Semi-Furnished,1 bathrooms,28.5244107,77.2137253
AGENT,1.0,BHK,Apartment,Saket,"6,500",550.0,Semi-Furnished,1 bathrooms,28.5244107,77.2137253
AGENT,1.0,BHK,Apartment,Saket,"8,000",620.0,Semi-Furnished,1 bathrooms,28.5244107,77.2137253
AGENT,1.0,BHK,Apartment,Chattarpur,"8,000",850.0,Semi-Furnished,1 bathrooms,28.503846,77.183032
AGENT,2.0,BHK,Independent Floor,Chattarpur,"13,000",1500.0,Furnished,2 bathrooms,28.503846,77.183032
AGENT,2.0,BHK,Apartment,Saket,"22,008",900.0,Furnished,2 bathrooms,28.5244107,77.2137253
AGENT,2.0,BHK,Apartment,Saket,"20,000",910.0,Furnished,2 bathrooms,28.5244107,77.2137253
AGENT,3.0,BHK,Apartment,Saket,"30,000",2100.0,Furnished,1 bathrooms,28.5244107,77.2137253
AGENT,3.0,BHK,Apartment,Saket,"36,000",2000.0,Furnished,3 bathrooms,28.5244107,77.2137253
AGENT,3.0,BHK,Apartment,Saket,"38,000",2000.0,Furnished,3 bathrooms,28.5244107,77.2137253
AGENT,3.0,BHK,Apartment,Saket,"25,000",1800.0,Semi-Furnished,3 bathrooms,28.5244107,77.2137253
AGENT,3.0,BHK,Apartment,Saket,"24,000",1800.0,Semi-Furnished,3 bathrooms,28.5244107,77.2137253
AGENT,3.0,BHK,Apartment,Saket,"22,000",1500.0,Semi-Furnished,3 bathrooms,28.5244107,77.2137253
AGENT,3.0,BHK,Apartment,Saket,"20,000",1500.0,Semi-Furnished,3 bathrooms,28.5244107,77.2137253
AGENT,3.0,BHK,Apartment,Saket,"18,000",1400.0,Semi-Furnished,3 bathrooms,28.5244107,77.2137253
AGENT,2.0,BHK,Apartment,Saket,"16,500",900.0,Furnished,2 bathrooms,28.5244107,77.2137253
AGENT,2.0,BHK,Apartment,Saket,"24,000",920.0,Furnished,2 bathrooms,28.5244107,77.2137253
AGENT,2.0,BHK,Apartment,Saket,"15,000",900.0,Semi-Furnished,2 bathrooms,28.5244107,77.2137253
AGENT,3.0,BHK,Independent Floor,Govindpuri,"12,000",1100.0,Semi-Furnished,2 bathrooms,26.4536771,80.312879
AGENT,3.0,BHK,Independent Floor,Govindpuri,"10,000",1300.0,Semi-Furnished,2 bathrooms,26.4536771,80.312879
AGENT,3.0,BHK,Independent Floor,Govindpuri,"8,500",900.0,Semi-Furnished,2 bathrooms,26.4536771,80.312879
AGENT,2.0,BHK,Independent Floor,Govindpuri,"9,000",1000.0,Semi-Furnished,1 bathrooms,26.4536771,80.312879
AGENT,1.0,BHK,Independent Floor,Govindpuri,"7,500",500.0,Semi-Furnished,1 bathrooms,26.4536771,80.312879
AGENT,1.0,BHK,Independent Floor,Govindpuri,"9,500",550.0,Furnished,1 bathrooms,26.4536771,80.312879
AGENT,1.0,BHK,Independent Floor,Govindpuri,"8,500",550.0,Furnished,1 bathrooms,26.4536771,80.312879
AGENT,1.0,BHK,Independent Floor,Govindpuri,"7,200",500.0,Semi-Furnished,1 bathrooms,26.4536771,80.312879
AGENT,2.0,BHK,Independent Floor,Govindpuri,"7,500",550.0,Semi-Furnished,1 bathrooms,26.4536771,80.312879
AGENT,1.0,BHK,Independent Floor,Govindpuri,"10,000",500.0,Furnished,1 bathrooms,26.4536771,80.312879
AGENT,3.0,BHK,Independent Floor,Kalkaji,"10,500",1250.0,Semi-Furnished,2 bathrooms,28.5469476,77.258801
AGENT,1.0,BHK,Independent Floor,Kalkaji,"7,000",550.0,Furnished,1 bathrooms,28.5469476,77.258801
AGENT,1.0,RK,Studio Apartment,Kalkaji,"5,800",450.0,Semi-Furnished,1 bathrooms,28.5469476,77.258801
AGENT,2.0,BHK,Independent Floor,Kalkaji,"11,000",900.0,Furnished,1 bathrooms,28.5469476,77.258801
AGENT,2.0,BHK,Independent Floor,Govindpuri,"12,500",850.0,Furnished,2 bathrooms,26.4536771,80.312879
AGENT,2.0,BHK,Independent Floor,Kalkaji,"11,000",850.0,Semi-Furnished,2 bathrooms,28.5469476,77.258801
AGENT,1.0,BHK,Independent Floor,Govindpuri,"10,000",600.0,Furnished,1 bathrooms,26.4536771,80.312879
AGENT,1.0,BHK,Independent Floor,Kalkaji,"10,000",600.0,Furnished,1 bathrooms,28.5469476,77.258801
AGENT,1.0,BHK,Independent Floor,Kalkaji,"7,000",550.0,Semi-Furnished,1 bathrooms,28.5469476,77.258801
AGENT,1.0,BHK,Independent Floor,Govindpuri,"7,500",550.0,Semi-Furnished,1 bathrooms,26.4536771,80.312879
AGENT,3.0,BHK,Independent Floor,Dr Mukherji Nagar,"26,000",1400.0,Semi-Furnished,3 bathrooms,28.7057279,77.21372495156884
AGENT,3.0,BHK,Independent Floor,Dr Mukherji Nagar,"31,000",1400.0,Semi-Furnished,3 bathrooms,28.7057279,77.21372495156884
AGENT,2.0,BHK,Apartment,Neb Sarai,"15,000",900.0,Semi-Furnished,2 bathrooms,28.5055007,77.2014964
AGENT,1.0,BHK,Independent Floor,Saket,"16,000",500.0,Furnished,1 bathrooms,28.5244107,77.2137253
AGENT,1.0,BHK,Independent Floor,Saket,"20,000",500.0,Furnished,1 bathrooms,28.5244107,77.2137253
AGENT,1.0,BHK,Independent Floor,Saket,"20,000",500.0,Furnished,1 bathrooms,28.5244107,77.2137253
AGENT,3.0,BHK,Independent Floor,Pitampura,"55,000",2000.0,Semi-Furnished,3 bathrooms,28.6995123,77.1301047
AGENT,3.0,BHK,Independent Floor,Pitampura,"48,000",1800.0,Semi-Furnished,3 bathrooms,28.6995123,77.1301047
AGENT,2.0,BHK,Independent Floor,Shadipur,"20,850",680.0,Furnished,2 bathrooms,28.6516362,77.1582947
AGENT,3.0,BHK,Apartment,Sarita Vihar,"32,000",1700.0,Semi-Furnished,2 bathrooms,28.52863025,77.28835901957537
AGENT,2.0,BHK,Independent Floor,Patel Nagar,"32,222",900.0,Furnished,2 bathrooms,28.6450527,77.1693179
AGENT,2.0,BHK,Independent Floor,Preet Vihar,"14,000",1000.0,Furnished,2 bathrooms,28.6414176,77.2952819
