seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
AGENT,1,BHK,Apartment,Kondapur,"8,999",800,Semi-Furnished,1 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"8,999",800,Semi-Furnished,1 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"8,999",800,Semi-Furnished,1 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"8,999",800,Semi-Furnished,1 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"8,999",800,Semi-Furnished,1 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"8,999",800,Semi-Furnished,1 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"8,999",800,Semi-Furnished,1 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"8,999",800,Semi-Furnished,1 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"28,000",2500,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"28,000",2500,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"28,000",2500,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"28,000",2500,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"28,000",2500,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"28,000",2500,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"28,000",2500,Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"28,000",2500,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Independent Floor,Kondapur,"28,000",2500,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"39,000",2500,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"23,499",2000,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"7,599",800,Unfurnished,1 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"9,399",1000,Unfurnished,1 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"11,499",800,Semi-Furnished,1 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"39,999",2500,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"9,550",1000,Unfurnished,1 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"19,100",1250,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kothaguda,"14,999",1100,Semi-Furnished,2 bathrooms,19.3118116,79.5521736
AGENT,2,BHK,Apartment,Kothaguda,"14,999",1100,Semi-Furnished,2 bathrooms,19.3118116,79.5521736
AGENT,2,BHK,Apartment,Kondapur,"12,999",1250,Unfurnished,2 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"23,900",2000,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"5,000",800,Unfurnished,1 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"15,999",1850,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"19,000",1250,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"24,001",2000,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"9,899",1000,Unfurnished,1 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"17,999",1250,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"20,999",1850,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"22,999",1850,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"13,999",1100,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"9,001",1000,Unfurnished,1 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"14,001",1250,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"9,111",1000,Unfurnished,1 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"5,502",800,Unfurnished,1 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Kondapur,"5,995",800,Unfurnished,1 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kukatpally,"44,000",1454,Semi-Furnished,3 bathrooms,17.4930841,78.4054408
AGENT,3,BHK,Apartment,Kukatpally,"44,000",1454,Semi-Furnished,3 bathrooms,17.4930841,78.4054408
AGENT,2,BHK,Apartment,Patancheru,"9,000",1080,Unfurnished,2 bathrooms,17.5286092,78.2674254
AGENT,2,BHK,Apartment,Patancheru,"9,000",1080,Unfurnished,2 bathrooms,17.5286092,78.2674254
AGENT,3,BHK,Apartment,Kukatpally,"44,000",1454,Semi-Furnished,3 bathrooms,17.4930841,78.4054408
AGENT,3,BHK,Apartment,Kukatpally,"44,000",1454,Semi-Furnished,3 bathrooms,17.4930841,78.4054408
AGENT,2,BHK,Apartment,Patancheru,"9,000",1080,Unfurnished,2 bathrooms,17.5286092,78.2674254
AGENT,2,BHK,Apartment,Patancheru,"9,000",1080,Unfurnished,2 bathrooms,17.5286092,78.2674254
AGENT,2,BHK,Apartment,Patancheru,"9,000",1080,Unfurnished,2 bathrooms,17.5286092,78.2674254
AGENT,3,BHK,Apartment,Kukatpally,"44,000",1454,Semi-Furnished,3 bathrooms,17.4930841,78.4054408
AGENT,1,BHK,Apartment,Gachibowli,"11,000",760,Semi-Furnished,1 bathrooms,17.4436222,78.3519638
AGENT,2,BHK,Apartment,Patancheru,"9,000",1080,Unfurnished,2 bathrooms,17.5286092,78.2674254
AGENT,2,BHK,Apartment,Patancheru,"9,000",1080,Unfurnished,2 bathrooms,17.5286092,78.2674254
AGENT,2,BHK,Apartment,Patancheru,"9,000",1080,Unfurnished,2 bathrooms,17.5286092,78.2674254
AGENT,2,BHK,Apartment,Patancheru,"9,000",1080,Unfurnished,2 bathrooms,17.5286092,78.2674254
AGENT,2,BHK,Apartment,Patancheru,"9,000",1080,Unfurnished,2 bathrooms,17.5286092,78.2674254
AGENT,2,BHK,Apartment,Kondapur,"16,000",840,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kukatpally,"44,000",1454,Semi-Furnished,3 bathrooms,17.4930841,78.4054408
AGENT,3,BHK,Apartment,Kukatpally,"44,000",1454,Semi-Furnished,3 bathrooms,17.4930841,78.4054408
AGENT,3,BHK,Apartment,Kukatpally,"44,000",1454,Semi-Furnished,3 bathrooms,17.4930841,78.4054408
AGENT,3,BHK,Apartment,Kukatpally,"44,000",1454,Semi-Furnished,3 bathrooms,17.4930841,78.4054408
AGENT,3,BHK,Apartment,Kukatpally,"44,000",1454,Semi-Furnished,3 bathrooms,17.4930841,78.4054408
AGENT,1,BHK,Apartment,Gachibowli,"11,000",760,Semi-Furnished,1 bathrooms,17.4436222,78.3519638
AGENT,1,BHK,Apartment,Gachibowli,"11,000",760,Semi-Furnished,1 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Kondapur,"21,000",1160,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"21,000",1160,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Gachibowli,"24,000",1160,Semi-Furnished,3 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Gachibowli,"24,000",1160,Semi-Furnished,3 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Gachibowli,"24,000",1160,Semi-Furnished,3 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Kondapur,"21,000",1160,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"16,000",840,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Gachibowli,"24,000",1160,Semi-Furnished,3 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Kondapur,"21,000",1160,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"21,000",1160,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"16,000",840,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"16,000",840,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"16,000",840,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"21,000",1160,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"16,000",840,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Gachibowli,"24,000",1160,Semi-Furnished,3 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Kondapur,"21,000",1160,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Gachibowli,"24,000",1160,Semi-Furnished,3 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Gachibowli,"24,000",1160,Semi-Furnished,3 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Gachibowli,"24,000",1160,Semi-Furnished,3 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Gachibowli,"24,000",1160,Semi-Furnished,3 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Gachibowli,"24,000",1160,Semi-Furnished,3 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Kondapur,"21,000",1160,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"21,000",1160,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"21,000",1160,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kondapur,"21,000",1160,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"16,000",840,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"16,000",840,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"16,000",840,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Apartment,Kondapur,"16,000",840,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Apartment,Gachibowli,"11,000",760,Semi-Furnished,1 bathrooms,17.4436222,78.3519638
AGENT,1,BHK,Apartment,Gachibowli,"11,000",760,Semi-Furnished,1 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Kukatpally,"44,000",1454,Semi-Furnished,3 bathrooms,17.4930841,78.4054408
AGENT,3,BHK,Apartment,Kukatpally,"44,000",1454,Semi-Furnished,3 bathrooms,17.4930841,78.4054408
